abilities,attack,classfication,defense,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Clear Body', 'Light Metal']",75,Iron Pokémon,150,1.9,80,Registeel,,379,75,150,50,steel,,205.0,3,1
['Levitate'],100,Eon Pokémon,120,1.4,80,Latias,0.0,380,140,150,110,dragon,psychic,40.0,3,1
['Levitate'],130,Eon Pokémon,100,2.0,80,Latios,100.0,381,160,120,110,dragon,psychic,60.0,3,1
['Drizzle'],150,Sea Basin Pokémon,90,4.5,100,Kyogre,,382,180,160,90,water,,352.0,3,1
['Drought'],180,Continent Pokémon,160,3.5,100,Groudon,,383,150,90,90,ground,,950.0,3,1
['Air Lock'],180,Sky High Pokémon,100,7.0,105,Rayquaza,,384,180,100,115,dragon,flying,206.5,3,1
['Serene Grace'],100,Wish Pokémon,100,0.3,100,Jirachi,,385,100,100,100,steel,psychic,1.1,3,1
['Pressure'],95,DNA Pokémon,90,1.7,50,Deoxys,,386,95,90,180,psychic,,60.8,3,1
"['Overgrow', 'Shell Armor']",68,Tiny Leaf Pokémon,64,0.4,55,Turtwig,88.1,387,45,55,31,grass,,10.2,4,0
"['Overgrow', 'Shell Armor']",89,Grove Pokémon,85,1.1,75,Grotle,88.1,388,55,65,36,grass,,97.0,4,0
"['Overgrow', 'Shell Armor']",109,Continent Pokémon,105,2.2,95,Torterra,88.1,389,75,85,56,grass,ground,310.0,4,0
"['Blaze', 'Iron Fist']",58,Chimp Pokémon,44,0.5,44,Chimchar,88.1,390,58,44,61,fire,,6.2,4,0
"['Blaze', 'Iron Fist']",78,Playful Pokémon,52,0.9,64,Monferno,88.1,391,78,52,81,fire,fighting,22.0,4,0
"['Blaze', 'Iron Fist']",104,Flame Pokémon,71,1.2,76,Infernape,88.1,392,104,71,108,fire,fighting,55.0,4,0
"['Torrent', 'Defiant']",51,Penguin Pokémon,53,0.4,53,Piplup,88.1,393,61,56,40,water,,5.2,4,0
"['Torrent', 'Defiant']",66,Penguin Pokémon,68,0.8,64,Prinplup,88.1,394,81,76,50,water,,23.0,4,0
"['Torrent', 'Defiant']",86,Emperor Pokémon,88,1.7,84,Empoleon,88.1,395,111,101,60,water,steel,84.5,4,0
"['Keen Eye', 'Reckless']",55,Starling Pokémon,30,0.3,40,Starly,50.0,396,30,30,60,normal,flying,2.0,4,0
"['Intimidate', 'Reckless']",75,Starling Pokémon,50,0.6,55,Staravia,50.0,397,40,40,80,normal,flying,15.5,4,0
"['Intimidate', 'Reckless']",120,Predator Pokémon,70,1.2,85,Staraptor,50.0,398,50,60,100,normal,flying,24.9,4,0
"['Simple', 'Unaware', 'Moody']",45,Plump Mouse Pokémon,40,0.5,59,Bidoof,50.0,399,35,40,31,normal,,20.0,4,0
"['Simple', 'Unaware', 'Moody']",85,Beaver Pokémon,60,1.0,79,Bibarel,50.0,400,55,60,71,normal,water,31.5,4,0
"['Shed Skin', 'Run Away']",25,Cricket Pokémon,41,0.3,37,Kricketot,50.0,401,25,41,25,bug,,2.2,4,0
"['Swarm', 'Technician']",85,Cricket Pokémon,51,1.0,77,Kricketune,50.0,402,55,51,65,bug,,25.5,4,0
"['Rivalry', 'Intimidate', 'Guts']",65,Flash Pokémon,34,0.5,45,Shinx,50.0,403,40,34,45,electric,,9.5,4,0
"['Rivalry', 'Intimidate', 'Guts']",85,Spark Pokémon,49,0.9,60,Luxio,50.0,404,60,49,60,electric,,30.5,4,0
"['Rivalry', 'Intimidate', 'Guts']",120,Gleam Eyes Pokémon,79,1.4,80,Luxray,50.0,405,95,79,70,electric,,42.0,4,0
"['Natural Cure', 'Poison Point', 'Leaf Guard']",30,Bud Pokémon,35,0.2,40,Budew,50.0,406,50,70,55,grass,poison,1.2,4,0
"['Natural Cure', 'Poison Point', 'Technician']",70,Bouquet Pokémon,65,0.9,60,Roserade,50.0,407,125,105,90,grass,poison,14.5,4,0
"['Mold Breaker', 'Sheer Force']",125,Head Butt Pokémon,40,0.9,67,Cranidos,88.1,408,30,30,58,rock,,31.5,4,0
"['Mold Breaker', 'Sheer Force']",165,Head Butt Pokémon,60,1.6,97,Rampardos,88.1,409,65,50,58,rock,,102.5,4,0
"['Sturdy', 'Soundproof']",42,Shield Pokémon,118,0.5,30,Shieldon,88.1,410,42,88,30,rock,steel,57.0,4,0
"['Sturdy', 'Soundproof']",52,Shield Pokémon,168,1.3,60,Bastiodon,88.1,411,47,138,30,rock,steel,149.5,4,0
"['Shed Skin', 'Overcoat']",29,Bagworm Pokémon,45,0.2,40,Burmy,50.0,412,29,45,36,bug,,3.4,4,0
"['Anticipation', 'Overcoat']",69,Bagworm Pokémon,95,0.5,60,Wormadam,0.0,413,69,95,36,bug,grass,6.5,4,0
"['Swarm', 'Tinted Lens']",94,Moth Pokémon,50,0.9,70,Mothim,100.0,414,94,50,66,bug,flying,23.3,4,0
"['Honey Gather', 'Hustle']",30,Tiny Bee Pokémon,42,0.3,30,Combee,88.1,415,30,42,70,bug,flying,5.5,4,0
"['Pressure', 'Unnerve']",80,Beehive Pokémon,102,1.2,70,Vespiquen,0.0,416,80,102,40,bug,flying,38.5,4,0
"['Run Away', 'Pickup', 'Volt Absorb']",45,EleSquirrel Pokémon,70,0.4,60,Pachirisu,50.0,417,45,90,95,electric,,3.9,4,0
"['Swift Swim', 'Water Veil']",65,Sea Weasel Pokémon,35,0.7,55,Buizel,50.0,418,60,30,85,water,,29.5,4,0
"['Swift Swim', 'Water Veil']",105,Sea Weasel Pokémon,55,1.1,85,Floatzel,50.0,419,85,50,115,water,,33.5,4,0
['Chlorophyll'],35,Cherry Pokémon,45,0.4,45,Cherubi,50.0,420,62,53,35,grass,,3.3,4,0
['Flower Gift'],60,Blossom Pokémon,70,0.5,70,Cherrim,50.0,421,87,78,85,grass,,9.3,4,0
"['Sticky Hold', 'Storm Drain', 'Sand Force']",48,Sea Slug Pokémon,48,0.3,76,Shellos,50.0,422,57,62,34,water,,6.3,4,0
"['Sticky Hold', 'Storm Drain', 'Sand Force']",83,Sea Slug Pokémon,68,0.9,111,Gastrodon,50.0,423,92,82,39,water,ground,29.9,4,0
"['Technician', 'Pickup', 'Skill Link']",100,Long Tail Pokémon,66,1.2,75,Ambipom,50.0,424,60,66,115,normal,,20.3,4,0
"['Aftermath', 'Unburden', 'Flare Boost']",50,Balloon Pokémon,34,0.4,90,Drifloon,50.0,425,60,44,70,ghost,flying,1.2,4,0
"['Aftermath', 'Unburden', 'Flare Boost']",80,Blimp Pokémon,44,1.2,150,Drifblim,50.0,426,90,54,80,ghost,flying,15.0,4,0
"['Run Away', 'Klutz', 'Limber']",66,Rabbit Pokémon,44,0.4,55,Buneary,50.0,427,44,56,85,normal,,5.5,4,0
"['Cute Charm', 'Klutz', 'Limber']",136,Rabbit Pokémon,94,1.2,65,Lopunny,50.0,428,54,96,135,normal,,33.3,4,0
['Levitate'],60,Magical Pokémon,60,0.9,60,Mismagius,50.0,429,105,105,105,ghost,,4.4,4,0
"['Insomnia', 'Super Luck', 'Moxie']",125,Big Boss Pokémon,52,0.9,100,Honchkrow,50.0,430,105,52,71,dark,flying,27.3,4,0
"['Limber', 'Own Tempo', 'Keen Eye']",55,Catty Pokémon,42,0.5,49,Glameow,24.6,431,42,37,85,normal,,3.9,4,0
"['Thick Fat', 'Own Tempo', 'Defiant']",82,Tiger Cat Pokémon,64,1.0,71,Purugly,24.6,432,64,59,112,normal,,43.8,4,0
['Levitate'],30,Bell Pokémon,50,0.2,45,Chingling,50.0,433,65,50,45,psychic,,0.6,4,0
"['Stench', 'Aftermath', 'Keen Eye']",63,Skunk Pokémon,47,0.4,63,Stunky,50.0,434,41,41,74,poison,dark,19.2,4,0
"['Stench', 'Aftermath', 'Keen Eye']",93,Skunk Pokémon,67,1.0,103,Skuntank,50.0,435,71,61,84,poison,dark,38.0,4,0
"['Levitate', 'Heatproof', 'Heavy Metal']",24,Bronze Pokémon,86,0.5,57,Bronzor,,436,24,86,23,steel,psychic,60.5,4,0
"['Levitate', 'Heatproof', 'Heavy Metal']",89,Bronze Bell Pokémon,116,1.3,67,Bronzong,,437,79,116,33,steel,psychic,187.0,4,0
"['Sturdy', 'Rock Head', 'Rattled']",80,Bonsai Pokémon,95,0.5,50,Bonsly,50.0,438,10,45,10,rock,,15.0,4,0
"['Soundproof', 'Filter', 'Technician']",25,Mime Pokémon,45,0.6,20,Mime Jr.,50.0,439,70,90,60,psychic,fairy,13.0,4,0
"['Natural Cure', 'Serene Grace', 'Friend Guard']",5,Playhouse Pokémon,5,0.6,100,Happiny,0.0,440,15,65,30,normal,,24.4,4,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",65,Music Note Pokémon,45,0.5,76,Chatot,50.0,441,92,42,91,normal,flying,1.9,4,0
"['Pressure', 'Infiltrator']",92,Forbidden Pokémon,108,1.0,50,Spiritomb,50.0,442,92,108,35,ghost,dark,108.0,4,0
"['Sand Veil', 'Rough Skin']",70,Land Shark Pokémon,45,0.7,58,Gible,50.0,443,40,45,42,dragon,ground,20.5,4,0
"['Sand Veil', 'Rough Skin']",90,Cave Pokémon,65,1.4,68,Gabite,50.0,444,50,55,82,dragon,ground,56.0,4,0
"['Sand Veil', 'Rough Skin']",170,Mach Pokémon,115,1.9,108,Garchomp,50.0,445,120,95,92,dragon,ground,95.0,4,0
"['Pickup', 'Thick Fat', 'Gluttony']",85,Big Eater Pokémon,40,0.6,135,Munchlax,88.1,446,40,85,5,normal,,105.0,4,0
"['Steadfast', 'Inner Focus', 'Prankster']",70,Emanation Pokémon,40,0.7,40,Riolu,88.1,447,35,40,60,fighting,,20.2,4,0
"['Steadfast', 'Inner Focus', 'Justified']",145,Aura Pokémon,88,1.2,70,Lucario,88.1,448,140,70,112,fighting,steel,54.0,4,0
"['Sand Stream', 'Sand Force']",72,Hippo Pokémon,78,0.8,68,Hippopotas,50.0,449,38,42,32,ground,,49.5,4,0
"['Sand Stream', 'Sand Force']",112,Heavyweight Pokémon,118,2.0,108,Hippowdon,50.0,450,68,72,47,ground,,300.0,4,0
"['Battle Armor', 'Sniper', 'Keen Eye']",50,Scorpion Pokémon,90,0.8,40,Skorupi,50.0,451,30,55,65,poison,bug,12.0,4,0
"['Battle Armor', 'Sniper', 'Keen Eye']",90,Ogre Scorp Pokémon,110,1.3,70,Drapion,50.0,452,60,75,95,poison,dark,61.5,4,0
"['Anticipation', 'Dry Skin', 'Poison Touch']",61,Toxic Mouth Pokémon,40,0.7,48,Croagunk,50.0,453,61,40,50,poison,fighting,23.0,4,0
"['Anticipation', 'Dry Skin', 'Poison Touch']",106,Toxic Mouth Pokémon,65,1.3,83,Toxicroak,50.0,454,86,65,85,poison,fighting,44.4,4,0
['Levitate'],100,Bug Catcher Pokémon,72,1.4,74,Carnivine,50.0,455,90,72,46,grass,,27.0,4,0
"['Swift Swim', 'Storm Drain', 'Water Veil']",49,Wing Fish Pokémon,56,0.4,49,Finneon,50.0,456,49,61,66,water,,7.0,4,0
"['Swift Swim', 'Storm Drain', 'Water Veil']",69,Neon Pokémon,76,1.2,69,Lumineon,50.0,457,69,86,91,water,,24.0,4,0
"['Swift Swim', 'Water Absorb', 'Water Veil']",20,Kite Pokémon,50,1.0,45,Mantyke,50.0,458,60,120,50,water,flying,65.0,4,0
"['Snow Warning', 'Soundproof']",62,Frosted Tree Pokémon,50,1.0,60,Snover,50.0,459,62,60,40,grass,ice,50.5,4,0
"['Snow Warning', 'Soundproof']",132,Frosted Tree Pokémon,105,2.2,90,Abomasnow,50.0,460,132,105,30,grass,ice,135.5,4,0
"['Pressure', 'Pickpocket']",120,Sharp Claw Pokémon,65,1.1,70,Weavile,50.0,461,45,85,125,dark,ice,34.0,4,0
"['Magnet Pull', 'Sturdy', 'Analytic']",70,Magnet Area Pokémon,115,1.2,70,Magnezone,,462,130,90,60,electric,steel,180.0,4,0
"['Own Tempo', 'Oblivious', 'Cloud Nine']",85,Licking Pokémon,95,1.7,110,Lickilicky,50.0,463,80,95,50,normal,,140.0,4,0
"['Lightningrod', 'Solid Rock', 'Reckless']",140,Drill Pokémon,130,2.4,115,Rhyperior,50.0,464,55,55,40,ground,rock,282.8,4,0
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",100,Vine Pokémon,125,2.0,100,Tangrowth,50.0,465,110,50,50,grass,,128.6,4,0
"['Motor Drive', 'Vital Spirit']",123,Thunderbolt Pokémon,67,1.8,75,Electivire,75.4,466,95,85,95,electric,,138.6,4,0
"['Flame Body', 'Vital Spirit']",95,Blast Pokémon,67,1.6,75,Magmortar,75.4,467,125,95,83,fire,,68.0,4,0
"['Hustle', 'Serene Grace', 'Super Luck']",50,Jubilee Pokémon,95,1.5,85,Togekiss,88.1,468,120,115,80,fairy,flying,38.0,4,0
"['Speed Boost', 'Tinted Lens', 'Frisk']",76,Ogre Darner Pokémon,86,1.9,86,Yanmega,50.0,469,116,56,95,bug,flying,51.5,4,0
"['Leaf Guard', 'Chlorophyll']",110,Verdant Pokémon,130,1.0,65,Leafeon,88.1,470,60,65,95,grass,,25.5,4,0
"['Snow Cloak', 'Ice Body']",60,Fresh Snow Pokémon,110,0.8,65,Glaceon,88.1,471,130,95,65,ice,,25.9,4,0
"['Hyper Cutter', 'Sand Veil', 'Poison Heal']",95,Fang Scorp Pokémon,125,2.0,75,Gliscor,50.0,472,45,75,95,ground,flying,42.5,4,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']",130,Twin Tusk Pokémon,80,2.5,110,Mamoswine,50.0,473,70,60,80,ice,ground,291.0,4,0
"['Adaptability', 'Download', 'Analytic']",80,Virtual Pokémon,70,0.9,85,Porygon-Z,,474,135,75,90,normal,,34.0,4,0
"['Steadfast', 'Justified']",165,Blade Pokémon,95,1.6,68,Gallade,100.0,475,65,115,110,psychic,fighting,52.0,4,0
"['Sturdy', 'Magnet Pull', 'Sand Force']",55,Compass Pokémon,145,1.4,60,Probopass,50.0,476,75,150,40,rock,steel,340.0,4,0
"['Pressure', 'Frisk']",100,Gripper Pokémon,135,2.2,45,Dusknoir,50.0,477,65,135,45,ghost,,106.6,4,0
"['Snow Cloak', 'Cursed Body']",80,Snow Land Pokémon,70,1.3,70,Froslass,0.0,478,80,70,110,ice,ghost,26.6,4,0
['Levitate'],65,Plasma Pokémon,107,0.3,50,Rotom,,479,105,107,86,electric,ghost,0.3,4,0
['Levitate'],75,Knowledge Pokémon,130,0.3,75,Uxie,,480,75,130,95,psychic,,0.3,4,1
['Levitate'],105,Emotion Pokémon,105,0.3,80,Mesprit,,481,105,105,80,psychic,,0.3,4,1
['Levitate'],125,Willpower Pokémon,70,0.3,75,Azelf,,482,125,70,115,psychic,,0.3,4,1
"['Pressure', 'Telepathy']",120,Temporal Pokémon,120,5.4,100,Dialga,,483,150,100,90,steel,dragon,683.0,4,1
"['Pressure', 'Telepathy']",120,Spatial Pokémon,100,4.2,90,Palkia,,484,150,120,100,water,dragon,336.0,4,1
"['Flash Fire', 'Flame Body']",90,Lava Dome Pokémon,106,1.7,91,Heatran,50.0,485,130,106,77,fire,steel,430.0,4,1
['Slow Start'],160,Colossal Pokémon,110,3.7,110,Regigigas,,486,80,110,100,normal,,420.0,4,1
"['Pressure', 'Telepathy', 'Levitate']",120,Renegade Pokémon,100,4.5,150,Giratina,,487,120,100,90,ghost,dragon,750.0,4,1
['Levitate'],70,Lunar Pokémon,120,1.5,120,Cresselia,0.0,488,75,130,85,psychic,,85.6,4,1
['Hydration'],80,Sea Drifter Pokémon,80,0.4,80,Phione,,489,80,80,80,water,,3.1,4,0
['Hydration'],100,Seafaring Pokémon,100,0.3,100,Manaphy,,490,100,100,100,water,,1.4,4,1
['Bad Dreams'],90,Pitch-Black Pokémon,90,1.5,70,Darkrai,,491,135,90,125,dark,,50.5,4,1
"['Natural Cure', 'Serene Grace']",103,Gratitude Pokémon,75,0.2,100,Shaymin,,492,120,75,127,grass,grass,2.1,4,1
['Multitype'],120,Alpha Pokémon,120,3.2,120,Arceus,,493,120,120,120,normal,,320.0,4,1
['Victory Star'],100,Victory Pokémon,100,0.4,100,Victini,,494,100,100,100,psychic,fire,4.0,5,1
"['Overgrow', 'Contrary']",45,Grass Snake Pokémon,55,0.6,45,Snivy,88.1,495,45,55,63,grass,,8.1,5,0
"['Overgrow', 'Contrary']",60,Grass Snake Pokémon,75,0.8,60,Servine,88.1,496,60,75,83,grass,,16.0,5,0
"['Overgrow', 'Contrary']",75,Regal Pokémon,95,3.3,75,Serperior,88.1,497,75,95,113,grass,,63.0,5,0
"['Blaze', 'Thick Fat']",63,Fire Pig Pokémon,45,0.5,65,Tepig,88.1,498,45,45,45,fire,,9.9,5,0
"['Blaze', 'Thick Fat']",93,Fire Pig Pokémon,55,1.0,90,Pignite,88.1,499,70,55,55,fire,fighting,55.5,5,0
"['Blaze', 'Reckless']",123,Mega Fire Pig Pokémon,65,1.6,110,Emboar,88.1,500,100,65,65,fire,fighting,150.0,5,0
"['Torrent', 'Shell Armor']",55,Sea Otter Pokémon,45,0.5,55,Oshawott,88.1,501,63,45,45,water,,5.9,5,0
"['Torrent', 'Shell Armor']",75,Discipline Pokémon,60,0.8,75,Dewott,88.1,502,83,60,60,water,,24.5,5,0
"['Torrent', 'Shell Armor']",100,Formidable Pokémon,85,1.5,95,Samurott,88.1,503,108,70,70,water,,94.6,5,0
"['Run Away', 'Keen Eye', 'Analytic']",55,Scout Pokémon,39,0.5,45,Patrat,50.0,504,35,39,42,normal,,11.6,5,0
"['Illuminate', 'Keen Eye', 'Analytic']",85,Lookout Pokémon,69,1.1,60,Watchog,50.0,505,60,69,77,normal,,27.0,5,0
"['Vital Spirit', 'Pickup', 'Run Away']",60,Puppy Pokémon,45,0.4,45,Lillipup,50.0,506,25,45,55,normal,,4.1,5,0
"['Intimidate', 'Sand Rush', 'Scrappy']",80,Loyal Dog Pokémon,65,0.9,65,Herdier,50.0,507,35,65,60,normal,,14.7,5,0
"['Intimidate', 'Sand Rush', 'Scrappy']",110,Big-Hearted Pokémon,90,1.2,85,Stoutland,50.0,508,45,90,80,normal,,61.0,5,0
"['Limber', 'Unburden', 'Prankster']",50,Devious Pokémon,37,0.4,41,Purrloin,50.0,509,50,37,66,dark,,10.1,5,0
"['Limber', 'Unburden', 'Prankster']",88,Cruel Pokémon,50,1.1,64,Liepard,50.0,510,88,50,106,dark,,37.5,5,0
"['Gluttony', 'Overgrow']",53,Grass Monkey Pokémon,48,0.6,50,Pansage,88.1,511,53,48,64,grass,,10.5,5,0
"['Gluttony', 'Overgrow']",98,Thorn Monkey Pokémon,63,1.1,75,Simisage,88.1,512,98,63,101,grass,,30.5,5,0
"['Gluttony', 'Blaze']",53,High Temp Pokémon,48,0.6,50,Pansear,88.1,513,53,48,64,fire,,11.0,5,0
"['Gluttony', 'Blaze']",98,Ember Pokémon,63,1.0,75,Simisear,88.1,514,98,63,101,fire,,28.0,5,0
"['Gluttony', 'Torrent']",53,Spray Pokémon,48,0.6,50,Panpour,88.1,515,53,48,64,water,,13.5,5,0
"['Gluttony', 'Torrent']",98,Geyser Pokémon,63,1.0,75,Simipour,88.1,516,98,63,101,water,,29.0,5,0
"['Forewarn', 'Synchronize', 'Telepathy']",25,Dream Eater Pokémon,45,0.6,76,Munna,50.0,517,67,55,24,psychic,,23.3,5,0
"['Forewarn', 'Synchronize', 'Telepathy']",55,Drowsing Pokémon,85,1.1,116,Musharna,50.0,518,107,95,29,psychic,,60.5,5,0
"['Big Pecks', 'Super Luck', 'Rivalry']",55,Tiny Pigeon Pokémon,50,0.3,50,Pidove,50.0,519,36,30,43,normal,flying,2.1,5,0
"['Big Pecks', 'Super Luck', 'Rivalry']",77,Wild Pigeon Pokémon,62,0.6,62,Tranquill,50.0,520,50,42,65,normal,flying,15.0,5,0
"['Big Pecks', 'Super Luck', 'Rivalry']",115,Proud Pokémon,80,1.2,80,Unfezant,50.0,521,65,55,93,normal,flying,29.0,5,0
"['Lightningrod', 'Motor Drive', 'Sap Sipper']",60,Electrified Pokémon,32,0.8,45,Blitzle,50.0,522,50,32,76,electric,,29.8,5,0
"['Lightningrod', 'Motor Drive', 'Sap Sipper']",100,Thunderbolt Pokémon,63,1.6,75,Zebstrika,50.0,523,80,63,116,electric,,79.5,5,0
"['Sturdy', 'Weak Armor', 'Sand Force']",75,Mantle Pokémon,85,0.4,55,Roggenrola,50.0,524,25,25,15,rock,,18.0,5,0
"['Sturdy', 'Weak Armor', 'Sand Force']",105,Ore Pokémon,105,0.9,70,Boldore,50.0,525,50,40,20,rock,,102.0,5,0
"['Sturdy', 'Sand Stream', 'Sand Force']",135,Compressed Pokémon,130,1.7,85,Gigalith,50.0,526,60,80,25,rock,,260.0,5,0
"['Unaware', 'Klutz', 'Simple']",45,Bat Pokémon,43,0.4,65,Woobat,50.0,527,55,43,72,psychic,flying,2.1,5,0
"['Unaware', 'Klutz', 'Simple']",57,Courting Pokémon,55,0.9,67,Swoobat,50.0,528,77,55,114,psychic,flying,10.5,5,0
"['Sand Rush', 'Sand Force', 'Mold Breaker']",85,Mole Pokémon,40,0.3,60,Drilbur,50.0,529,30,45,68,ground,,8.5,5,0
"['Sand Rush', 'Sand Force', 'Mold Breaker']",135,Subterrene Pokémon,60,0.7,110,Excadrill,50.0,530,50,65,88,ground,steel,40.4,5,0
"['Healer', 'Regenerator', 'Klutz']",60,Hearing Pokémon,126,1.1,103,Audino,50.0,531,80,126,50,normal,,31.0,5,0
"['Guts', 'Sheer Force', 'Iron Fist']",80,Muscular Pokémon,55,0.6,75,Timburr,75.4,532,25,35,35,fighting,,12.5,5,0
"['Guts', 'Sheer Force', 'Iron Fist']",105,Muscular Pokémon,85,1.2,85,Gurdurr,75.4,533,40,50,40,fighting,,40.0,5,0
"['Guts', 'Sheer Force', 'Iron Fist']",140,Muscular Pokémon,95,1.4,105,Conkeldurr,75.4,534,55,65,45,fighting,,87.0,5,0
"['Swift Swim', 'Hydration', 'Water Absorb']",50,Tadpole Pokémon,40,0.5,50,Tympole,50.0,535,50,40,64,water,,4.5,5,0
"['Swift Swim', 'Hydration', 'Water Absorb']",65,Vibration Pokémon,55,0.8,75,Palpitoad,50.0,536,65,55,69,water,ground,17.0,5,0
"['Swift Swim', 'Poison Touch', 'Water Absorb']",95,Vibration Pokémon,75,1.5,105,Seismitoad,50.0,537,85,75,74,water,ground,62.0,5,0
"['Guts', 'Inner Focus', 'Mold Breaker']",100,Judo Pokémon,85,1.3,120,Throh,100.0,538,30,85,45,fighting,,55.5,5,0
"['Sturdy', 'Inner Focus', 'Mold Breaker']",125,Karate Pokémon,75,1.4,75,Sawk,100.0,539,30,75,85,fighting,,51.0,5,0
"['Swarm', 'Chlorophyll', 'Overcoat']",53,Sewing Pokémon,70,0.3,45,Sewaddle,50.0,540,40,60,42,bug,grass,2.5,5,0
"['Leaf Guard', 'Chlorophyll', 'Overcoat']",63,Leaf-Wrapped Pokémon,90,0.5,55,Swadloon,50.0,541,50,80,42,bug,grass,7.3,5,0
"['Swarm', 'Chlorophyll', 'Overcoat']",103,Nurturing Pokémon,80,1.2,75,Leavanny,50.0,542,70,80,92,bug,grass,20.5,5,0
"['Poison Point', 'Swarm', 'Speed Boost']",45,Centipede Pokémon,59,0.4,30,Venipede,50.0,543,30,39,57,bug,poison,5.3,5,0
"['Poison Point', 'Swarm', 'Speed Boost']",55,Curlipede Pokémon,99,1.2,40,Whirlipede,50.0,544,40,79,47,bug,poison,58.5,5,0
"['Poison Point', 'Swarm', 'Speed Boost']",100,Megapede Pokémon,89,2.5,60,Scolipede,50.0,545,55,69,112,bug,poison,200.5,5,0
"['Prankster', 'Infiltrator', 'Chlorophyll']",27,Cotton Puff Pokémon,60,0.3,40,Cottonee,50.0,546,37,50,66,grass,fairy,0.6,5,0
"['Prankster', 'Infiltrator', 'Chlorophyll']",67,Windveiled Pokémon,85,0.7,60,Whimsicott,50.0,547,77,75,116,grass,fairy,6.6,5,0
"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",35,Bulb Pokémon,50,0.5,45,Petilil,0.0,548,70,50,30,grass,,6.6,5,0
"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",60,Flowering Pokémon,75,1.1,70,Lilligant,0.0,549,110,75,90,grass,,16.3,5,0
"['Reckless', 'Rock Head', 'Adaptability', 'Mold Breaker']",92,Hostile Pokémon,65,1.0,70,Basculin,50.0,550,80,55,98,water,,18.0,5,0
"['Intimidate', 'Moxie', 'Anger Point']",72,Desert Croc Pokémon,35,0.7,50,Sandile,50.0,551,35,35,65,ground,dark,15.2,5,0
"['Intimidate', 'Moxie', 'Anger Point']",82,Desert Croc Pokémon,45,1.0,60,Krokorok,50.0,552,45,45,74,ground,dark,33.4,5,0
"['Intimidate', 'Moxie', 'Anger Point']",117,Intimidation Pokémon,80,1.5,95,Krookodile,50.0,553,65,70,92,ground,dark,96.3,5,0
"['Hustle', 'Inner Focus']",90,Zen Charm Pokémon,45,0.6,70,Darumaka,50.0,554,15,45,50,fire,,37.5,5,0
"['Sheer Force', 'Zen Mode']",30,Blazing Pokémon,105,1.3,105,Darmanitan,50.0,555,140,105,55,fire,fire,92.9,5,0
"['Water Absorb', 'Chlorophyll', 'Storm Drain']",86,Cactus Pokémon,67,1.0,75,Maractus,50.0,556,106,67,60,grass,,28.0,5,0
"['Sturdy', 'Shell Armor', 'Weak Armor']",65,Rock Inn Pokémon,85,0.3,50,Dwebble,50.0,557,35,35,55,bug,rock,14.5,5,0
"['Sturdy', 'Shell Armor', 'Weak Armor']",105,Stone Home Pokémon,125,1.4,70,Crustle,50.0,558,65,75,45,bug,rock,200.0,5,0
"['Shed Skin', 'Moxie', 'Intimidate']",75,Shedding Pokémon,70,0.6,50,Scraggy,50.0,559,35,70,48,dark,fighting,11.8,5,0
"['Shed Skin', 'Moxie', 'Intimidate']",90,Hoodlum Pokémon,115,1.1,65,Scrafty,50.0,560,45,115,58,dark,fighting,30.0,5,0
"['Wonder Skin ', 'Magic Guard', 'Tinted Lens']",58,Avianoid Pokémon,80,1.4,72,Sigilyph,50.0,561,103,80,97,psychic,flying,14.0,5,0
['Mummy'],30,Spirit Pokémon,85,0.5,38,Yamask,50.0,562,55,65,30,ghost,,1.5,5,0
['Mummy'],50,Coffin Pokémon,145,1.7,58,Cofagrigus,50.0,563,95,105,30,ghost,,76.5,5,0
"['Solid Rock', 'Sturdy', 'Swift Swim']",78,Prototurtle Pokémon,103,0.7,54,Tirtouga,88.1,564,53,45,22,water,rock,16.5,5,0
"['Solid Rock', 'Sturdy', 'Swift Swim']",108,Prototurtle Pokémon,133,1.2,74,Carracosta,88.1,565,83,65,32,water,rock,81.0,5,0
['Defeatist'],112,First Bird Pokémon,45,0.5,55,Archen,88.1,566,74,45,70,rock,flying,9.5,5,0
['Defeatist'],140,First Bird Pokémon,65,1.4,75,Archeops,88.1,567,112,65,110,rock,flying,32.0,5,0
"['Stench', 'Sticky Hold', 'Aftermath']",50,Trash Bag Pokémon,62,0.6,50,Trubbish,50.0,568,40,62,65,poison,,31.0,5,0
"['Stench', 'Weak Armor', 'Aftermath']",95,Trash Heap Pokémon,82,1.9,80,Garbodor,50.0,569,60,82,75,poison,,107.3,5,0
['Illusion'],65,Tricky Fox Pokémon,40,0.7,40,Zorua,88.1,570,80,40,65,dark,,12.5,5,0
['Illusion'],105,Illusion Fox Pokémon,60,1.6,60,Zoroark,88.1,571,120,60,105,dark,,81.1,5,0
"['Cute Charm', 'Technician', 'Skill Link']",50,Chinchilla Pokémon,40,0.4,55,Minccino,24.6,572,40,40,75,normal,,5.8,5,0
"['Cute Charm', 'Technician', 'Skill Link']",95,Scarf Pokémon,60,0.5,75,Cinccino,24.6,573,65,60,115,normal,,7.5,5,0
